track_id,track_name,artist,album_name,popularity,release_date
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,84,1998
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,86,2013-09-09
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,Melophobia,76,2013-10-08
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,Pablo Honey,83,1993-02-22
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,Demon Days,82,2005-05-23
5TgEJ62DOzBpGxZ7WRsrqb,Work Song,Hozier,Hozier (Expanded Edition),75,2014-09-19
5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,AM,84,2013-09-09
42T2QQv3xgBlpQxaSP7lnK,One Last Breath,Creed,Weathered,77,2001-01-01
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,Unreal Unearth: Unaired,75,2024-08-19
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,Currents,80,2015-07-17
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),81,1985-02-25
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,The Colour And The Shape,78,1997-05-20
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,Wiped Out!,81,2015-10-30
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,Synchronicity (Remastered 2003),85,1983-06-17
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,Escape (2022 Remaster),81,1981-07-17
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),74,1991-09-26
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback,Silver Side Up,80,2001-09-11
4P5KoWXOxwuobLmHXLMobV,Come As You Are,Nirvana,Nevermind (Remastered),74,1991-09-26
7H0ya83CMmgFcOhw0UB6ow,Space Song,Beach House,Depression Cherry,73,2015-08-28
2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,Sublime,75,1996-07-30
0gEyKnHvgkrkBM6fbeHdwK,Linger,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",79,1993-03-01
2DNXgvkyv35vTWvdgjs7qn,Someone New,Hozier,Hozier (Expanded Edition),73,2014-09-19
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,Meteora,83,2003-03-25
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),80,2002-07-09
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,Torches,80,2011-05-23
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,AM,82,2013-09-09
2R4AlwtrrkMaRKojcTIzmL,For the First Time,Mac DeMarco,This Old Dog,77,2017-05-05
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,The Better Life,76,2000
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,Toto IV,81,1982-04-08
56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,Three Days Grace,One-X,74,2006-06-25
6jgkEbmQ2F2onEqsEhiliL,My Kind of Woman,Mac DeMarco,2,77,2012-10-16
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,Bleed American,76,2001-07-17
